#  q, mod1, mod2, omega1(Ry),  omega2(Ry),gamma1(Ry),  gamma2(Ry)
     4   1   6	 7.7728017539E-04	 1.3797085720E-02	 9.0937563354E-08	 1.1746637614E-03
     4   2   2	 1.5917173279E-03	 1.5917173279E-03	 1.1641288638E-04	 1.1641288638E-04
     4   2   3	 1.5917173279E-03	 2.8725406909E-03	 1.1641288638E-04	 3.1045539440E-05
     4   2   4	 1.5917173279E-03	 8.2033744830E-03	 1.1641288638E-04	 1.8370353173E-05
     4   2   5	 1.5917173279E-03	 1.3717572006E-02	 1.1641288638E-04	 8.2059536289E-04
     4   2   6	 1.5917173279E-03	 1.3797085720E-02	 1.1641288638E-04	 1.1746637614E-03
     4   3   3	 2.8725406909E-03	 2.8725406909E-03	 3.1045539440E-05	 3.1045539440E-05
     4   3   4	 2.8725406909E-03	 8.2033744830E-03	 3.1045539440E-05	 1.8370353173E-05
     4   3   5	 2.8725406909E-03	 1.3717572006E-02	 3.1045539440E-05	 8.2059536289E-04
     4   3   6	 2.8725406909E-03	 1.3797085720E-02	 3.1045539440E-05	 1.1746637614E-03
     4   4   4	 8.2033744830E-03	 8.2033744830E-03	 1.8370353173E-05	 1.8370353173E-05
     4   4   5	 8.2033744830E-03	 1.3717572006E-02	 1.8370353173E-05	 8.2059536289E-04
     4   4   6	 8.2033744830E-03	 1.3797085720E-02	 1.8370353173E-05	 1.1746637614E-03
     4   5   5	 1.3717572006E-02	 1.3717572006E-02	 8.2059536289E-04	 8.2059536289E-04
     4   5   6	 1.3717572006E-02	 1.3797085720E-02	 8.2059536289E-04	 1.1746637614E-03
     4   6   6	 1.3797085720E-02	 1.3797085720E-02	 1.1746637614E-03	 1.1746637614E-03
     5   1   1	 1.0339055839E-03	 1.0339055839E-03	 2.2268693809E-07	 2.2268693809E-07
     5   1   2	 1.0339055839E-03	 2.1080458364E-03	 2.2268693809E-07	 1.2286988572E-04
     5   1   3	 1.0339055839E-03	 3.8072356682E-03	 2.2268693809E-07	 7.1158938658E-05
     5   1   4	 1.0339055839E-03	 8.0733807618E-03	 2.2268693809E-07	 1.6550354277E-05
