# temperature      750.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      266.8137534656      -15.8609423030        0.0060591060        3.8678666395    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8573719718      -15.8505509400        0.0094715939       -0.0247899530        0.0084973273        0.0035703312      -15.8573709115
      257.5752500000      -15.8599113743      -15.8530076500        0.0092394639       -0.0248979931        0.0087548048        0.0010309287      -15.8599158401
      265.3020000000      -15.8609231564      -15.8538514500        0.0090067078       -0.0250958460        0.0090174317        0.0000191466      -15.8609161128
      273.1817500000      -15.8604941560      -15.8531839700        0.0087729740       -0.0253684190        0.0092852590        0.0004481470      -15.8604990870
      281.2160000000      -15.8587794617      -15.8511809600        0.0085406109       -0.0256974502        0.0095583376        0.0021628413      -15.8587781690
