# temperature      950.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.4611449616      -15.8740587396        0.0059289730        3.7901756711    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8702916310      -15.8505509400        0.0094715939       -0.0377096122        0.0084973273        0.0037671085      -15.8702905964
      257.5752500000      -15.8729036274      -15.8530076500        0.0092394639       -0.0378902462        0.0087548048        0.0011551121      -15.8729079783
      265.3020000000      -15.8740132467      -15.8538514500        0.0090067078       -0.0381859362        0.0090174317        0.0000454929      -15.8740063940
      273.1817500000      -15.8737032424      -15.8531839700        0.0087729740       -0.0385775054        0.0092852590        0.0003554972      -15.8737080334
      281.2160000000      -15.8721232001      -15.8511809600        0.0085406109       -0.0390411886        0.0095583376        0.0019355395      -15.8721219455
