# temperature      710.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      266.6896833780      -15.8585404433        0.0060853231        3.8831545925    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8550072757      -15.8505509400        0.0094715939       -0.0224252568        0.0084973273        0.0035331677      -15.8550062099
      257.5752500000      -15.8575326709      -15.8530076500        0.0092394639       -0.0225192897        0.0087548048        0.0010077724      -15.8575371601
      265.3020000000      -15.8585253675      -15.8538514500        0.0090067078       -0.0226980570        0.0090174317        0.0000150758      -15.8585182859
      273.1817500000      -15.8580730239      -15.8531839700        0.0087729740       -0.0229472869        0.0092852590        0.0004674194      -15.8580779824
      281.2160000000      -15.8563318293      -15.8511809600        0.0085406109       -0.0232498179        0.0095583376        0.0022086140      -15.8563305291
