# temperature       40.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      265.4766678029      -15.8358262126        0.0064718284        4.1118348128    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8325895472      -15.8505509400        0.0094715939       -0.0000075284        0.0084973273        0.0032366654      -15.8325884159
      257.5752500000      -15.8350200123      -15.8530076500        0.0092394639       -0.0000066310        0.0087548048        0.0008062003      -15.8350247935
      265.3020000000      -15.8358334065      -15.8538514500        0.0090067078       -0.0000060960        0.0090174317       -0.0000071939      -15.8358258403
      273.1817500000      -15.8351315177      -15.8531839700        0.0087729740       -0.0000057807        0.0092852590        0.0006946949      -15.8351368317
      281.2160000000      -15.8330876183      -15.8511809600        0.0085406109       -0.0000056068        0.0095583376        0.0027385943      -15.8330862206
