# temperature      370.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      265.7516075998      -15.8419929976        0.0063084819        4.0086426392    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8387295137      -15.8505509400        0.0094715939       -0.0061474948        0.0084973273        0.0032634839      -15.8387284048
      257.5752500000      -15.8411521058      -15.8530076500        0.0092394639       -0.0061387245        0.0087548048        0.0008408918      -15.8411567853
      265.3020000000      -15.8419979865      -15.8538514500        0.0090067078       -0.0061706760        0.0090174317       -0.0000049889      -15.8419905915
      273.1817500000      -15.8413619020      -15.8531839700        0.0087729740       -0.0062361650        0.0092852590        0.0006310956      -15.8413670889
      281.2160000000      -15.8394093721      -15.8511809600        0.0085406109       -0.0063273607        0.0095583376        0.0025836254      -15.8394080097
