# temperature      920.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.3614284132      -15.8719825778        0.0059483807        3.8019224176    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8682460515      -15.8505509400        0.0094715939       -0.0356640327        0.0084973273        0.0037365263      -15.8682450135
      257.5752500000      -15.8708469464      -15.8530076500        0.0092394639       -0.0358335652        0.0087548048        0.0011356314      -15.8708513138
      265.3020000000      -15.8719416902      -15.8538514500        0.0090067078       -0.0361143798        0.0090174317        0.0000408876      -15.8719348090
      273.1817500000      -15.8716136475      -15.8531839700        0.0087729740       -0.0364879105        0.0092852590        0.0003689303      -15.8716184604
      281.2160000000      -15.8700132293      -15.8511809600        0.0085406109       -0.0369312179        0.0095583376        0.0019693485      -15.8700119685
