# temperature      890.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.2625739079      -15.8699428748        0.0059678257        3.8137230461    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8662365735      -15.8505509400        0.0094715939       -0.0336545547        0.0084973273        0.0037063013      -15.8662355310
      257.5752500000      -15.8688264306      -15.8530076500        0.0092394639       -0.0338130493        0.0087548048        0.0011164443      -15.8688308161
      265.3020000000      -15.8699063588      -15.8538514500        0.0090067078       -0.0340790483        0.0090174317        0.0000365160      -15.8698994487
      273.1817500000      -15.8695603343      -15.8531839700        0.0087729740       -0.0344345972        0.0092852590        0.0003825406      -15.8695651672
      281.2160000000      -15.8679395935      -15.8511809600        0.0085406109       -0.0348575820        0.0095583376        0.0020032814      -15.8679383275
