# temperature      960.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.4945932499      -15.8747587073        0.0059225224        3.7860864353    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8709813255      -15.8505509400        0.0094715939       -0.0383993066        0.0084973273        0.0037773818      -15.8709802934
      257.5752500000      -15.8735970355      -15.8530076500        0.0092394639       -0.0385836542        0.0087548048        0.0011616718      -15.8736013781
      265.3020000000      -15.8747116256      -15.8538514500        0.0090067078       -0.0388843151        0.0090174317        0.0000470817      -15.8747047826
      273.1817500000      -15.8744076458      -15.8531839700        0.0087729740       -0.0392819088        0.0092852590        0.0003510615      -15.8744124321
      281.2160000000      -15.8728344065      -15.8511809600        0.0085406109       -0.0397523950        0.0095583376        0.0019243008      -15.8728331526
