# temperature      220.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      265.4814142317      -15.8376520859        0.0064019815        4.0595776959    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8344518249      -15.8505509400        0.0094715939       -0.0018698060        0.0084973273        0.0032002611      -15.8344507001
      257.5752500000      -15.8368540275      -15.8530076500        0.0092394639       -0.0018406463        0.0087548048        0.0007980584      -15.8368587786
      265.3020000000      -15.8376592120      -15.8538514500        0.0090067078       -0.0018319015        0.0090174317       -0.0000071261      -15.8376516974
      273.1817500000      -15.8369653680      -15.8531839700        0.0087729740       -0.0018396310        0.0092852590        0.0006867179      -15.8369706431
      281.2160000000      -15.8349420281      -15.8511809600        0.0085406109       -0.0018600166        0.0095583376        0.0027100578      -15.8349406414
