# temperature      740.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      266.7825471773      -15.8603343382        0.0060656551        3.8717049443    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8567733736      -15.8505509400        0.0094715939       -0.0241913548        0.0084973273        0.0035609646      -15.8567723116
      257.5752500000      -15.8593092540      -15.8530076500        0.0092394639       -0.0242958728        0.0087548048        0.0010250842      -15.8593137258
      265.3020000000      -15.8603162457      -15.8538514500        0.0090067078       -0.0244889352        0.0090174317        0.0000180925      -15.8603091925
      273.1817500000      -15.8598813913      -15.8531839700        0.0087729740       -0.0247556543        0.0092852590        0.0004529469      -15.8598863292
      281.2160000000      -15.8581600549      -15.8511809600        0.0085406109       -0.0250780434        0.0095583376        0.0021742833      -15.8581587605
