 # temperature   880.00000000000000     
 # pressure (kbar)   5.0000000000000000     
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
 #   267.22989344149261       -15.869271308905530        5.9744338862371396E-003   3.8172746102806498       -1471.0507848261050     
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
   250.00000000000000       -15.865574929900111       -15.850550940000000        9.4715978528787242E-003  -3.2992915057346681E-002   8.4973273043579146E-003   3.6963790054187484E-003  -15.865573884801213     
   257.57524999999998       -15.868161156842630       -15.853007650000000        9.2394660672200628E-003  -3.3147777728857228E-002   8.7548048190072628E-003   1.1101520628997719E-003  -15.868165552542017     
   265.30199999999996       -15.869236193269488       -15.853851450000001        9.0067021155577579E-003  -3.3408877099049147E-002   9.0174317140030522E-003   3.5115636041638254E-005  -15.869229274718750     
   273.18175000000008       -15.868884199832422       -15.853183970000000        8.7729656830205296E-003  -3.3758454488751984E-002   9.2852589733091132E-003   3.8710907310779419E-004  -15.868889033816773     
   281.21600000000007       -15.867256658250431       -15.851180960000001        8.5406104135312601E-003  -3.4174646244851656E-002   9.5583375808892639E-003   2.0146506550986487E-003  -15.867255392216329     
