# temperature      110.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      265.4400789850      -15.8360882487        0.0064560759        4.0925628705    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8328763286      -15.8505509400        0.0094715939       -0.0002943098        0.0084973273        0.0032119201      -15.8328751970
      257.5752500000      -15.8352916187      -15.8530076500        0.0092394639       -0.0002782375        0.0087548048        0.0007966300      -15.8352964018
      265.3020000000      -15.8360955863      -15.8538514500        0.0090067078       -0.0002682758        0.0090174317       -0.0000073376      -15.8360880166
      273.1817500000      -15.8353886223      -15.8531839700        0.0087729740       -0.0002628853        0.0092852590        0.0006996264      -15.8353939386
      281.2160000000      -15.8333428709      -15.8511809600        0.0085406109       -0.0002608594        0.0095583376        0.0027453778      -15.8333414728
