# temperature      400.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      265.8218198217      -15.8431196249        0.0062890033        3.9979276012    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8398372735      -15.8505509400        0.0094715939       -0.0072552547        0.0084973273        0.0032823514      -15.8398361687
      257.5752500000      -15.8422668964      -15.8530076500        0.0092394639       -0.0072535152        0.0087548048        0.0008527285      -15.8422715592
      265.3020000000      -15.8431237866      -15.8538514500        0.0090067078       -0.0072964761        0.0090174317       -0.0000041617      -15.8431164180
      273.1817500000      -15.8425020528      -15.8531839700        0.0087729740       -0.0073763157        0.0092852590        0.0006175721      -15.8425072212
      281.2160000000      -15.8405663961      -15.8511809600        0.0085406109       -0.0074843846        0.0095583376        0.0025532288      -15.8405650384
