# temperature      970.0000000000
# pressure (kbar)        5.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.5280792958      -15.8754625627        0.0059160512        3.7824501457    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8716748726      -15.8505509400        0.0094715939       -0.0390928538        0.0084973273        0.0037876901      -15.8716738399
      257.5752500000      -15.8742943026      -15.8530076500        0.0092394639       -0.0392809213        0.0087548048        0.0011682602      -15.8742986448
      265.3020000000      -15.8754138694      -15.8538514500        0.0090067078       -0.0395865589        0.0090174317        0.0000486934      -15.8754070355
      273.1817500000      -15.8751159196      -15.8531839700        0.0087729740       -0.0399901826        0.0092852590        0.0003466431      -15.8751206936
      281.2160000000      -15.8735494885      -15.8511809600        0.0085406109       -0.0404674770        0.0095583376        0.0019130742      -15.8735482389
