# temperature      920.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      268.9104483881      -15.8810962112        0.0058191534        3.8019571133    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8767433789      -15.8505509400        0.0094715939       -0.0356640327        0.0000000000        0.0043528324      -15.8767423403
      257.5752500000      -15.8796017513      -15.8530076500        0.0092394639       -0.0358335652        0.0000000000        0.0014944600      -15.8796061193
      265.3020000000      -15.8809591220      -15.8538514500        0.0090067078       -0.0361143798        0.0000000000        0.0001370893      -15.8809522407
      273.1817500000      -15.8808989065      -15.8531839700        0.0087729740       -0.0364879105        0.0000000000        0.0001973047      -15.8809037188
      281.2160000000      -15.8795715669      -15.8511809600        0.0085406109       -0.0369312179        0.0000000000        0.0015246443      -15.8795703063
