# temperature       30.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      266.8914535387      -15.8448690729        0.0063326087        4.1132551935    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8410813190      -15.8505509400        0.0094715939       -0.0000019728        0.0000000000        0.0037877540      -15.8410801883
      257.5752500000      -15.8437699301      -15.8530076500        0.0092394639       -0.0000017440        0.0000000000        0.0010991429      -15.8437747097
      265.3020000000      -15.8448463582      -15.8538514500        0.0090067078       -0.0000016160        0.0000000000        0.0000227147      -15.8448387941
      273.1817500000      -15.8444125422      -15.8531839700        0.0087729740       -0.0000015462        0.0000000000        0.0004565308      -15.8444178543
      281.2160000000      -15.8426418624      -15.8511809600        0.0085406109       -0.0000015133        0.0000000000        0.0022272106      -15.8426404655
