# temperature      750.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      268.3312592293      -15.8700367895        0.0059276440        3.8678129167    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8658692992      -15.8505509400        0.0094715939       -0.0247899530        0.0000000000        0.0041674903      -15.8658682393
      257.5752500000      -15.8686661791      -15.8530076500        0.0092394639       -0.0248979931        0.0000000000        0.0013706103      -15.8686706441
      265.3020000000      -15.8699405882      -15.8538514500        0.0090067078       -0.0250958460        0.0000000000        0.0000962013      -15.8699335446
      273.1817500000      -15.8697794150      -15.8531839700        0.0087729740       -0.0253684190        0.0000000000        0.0002573745      -15.8697843468
      281.2160000000      -15.8683377993      -15.8511809600        0.0085406109       -0.0256974502        0.0000000000        0.0016989902      -15.8683365060
