# temperature      940.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      268.9806145448      -15.8824786572        0.0058064827        3.7940476242    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8781031550      -15.8505509400        0.0094715939       -0.0370238089        0.0000000000        0.0043755022      -15.8781021197
      257.5752500000      -15.8809689217      -15.8530076500        0.0092394639       -0.0372007356        0.0000000000        0.0015097355      -15.8809732772
      265.3020000000      -15.8823362031      -15.8538514500        0.0090067078       -0.0374914609        0.0000000000        0.0001424541      -15.8823293409
      273.1817500000      -15.8822880073      -15.8531839700        0.0087729740       -0.0378770113        0.0000000000        0.0001906499      -15.8822928063
      281.2160000000      -15.8809742460      -15.8511809600        0.0085406109       -0.0383338969        0.0000000000        0.0015044112      -15.8809729889
