#     Pressure (kbar):    0.000000
#          Temperature                   volume0             vol.therm.exp                   energy0                 bulk mod.                     dbulk                    d2bulk
   10.000000000000000        266.89189489608412       -9.1715795162583997E-009  -15.844867484951212        6.3328166884464620E-003   4.1138242759832195       -1471.0507848261050     
   20.000000000000000        266.89187041788176       -8.2684689351141848E-008  -15.844867713884909        6.3327955212388763E-003   4.1137485255923236       -1471.0507848261050     
   30.000000000000000        266.89145353865621       -3.5982867655247319E-007  -15.844869072946276        6.3326086964768649E-003   4.1132551934790147       -1471.0507848261050     
   40.000000000000000        266.88994971391156       -8.4191125915134140E-007  -15.844873490665481        6.3320707238769779E-003   4.1117926577290458       -1471.0507848261050     
   50.000000000000000        266.88695958558384       -1.3786966627673504E-006  -15.844883274356926        6.3311045308648752E-003   4.1095996416814460       -1471.0507848261050     
   60.000000000000000        266.88259059070123       -1.8181299810877996E-006  -15.844900388651340        6.3297178775531138E-003   4.1069920145337999       -1471.0507848261050     
   70.000000000000000        266.87725504079617       -2.0798132887398933E-006  -15.844926274907479        6.3279285365342944E-003   4.1041959356184918       -1471.0507848261050     
   80.000000000000000        266.87148949347130       -2.1410804267970953E-006  -15.844961955876093        6.3257532955475594E-003   4.1012748158073098       -1471.0507848261050     
   90.000000000000000        266.86582717434368       -2.0171126553096693E-006  -15.845008173673515        6.3231985836457640E-003   4.0982870577980588       -1471.0507848261050     
   100.00000000000000        266.86072352472604       -1.7320331648565126E-006  -15.845065488808633        6.3202653895574994E-003   4.0954243634537004       -1471.0507848261050     
   110.00000000000000        266.85658294187283       -1.3172423711955159E-006  -15.845134338057264        6.3169735017595255E-003   4.0925575179431464       -1471.0507848261050     
   120.00000000000000        266.85369322876437       -8.0954169123096235E-007  -15.845215058652517        6.3133397690948705E-003   4.0897018140635266       -1471.0507848261050     
   130.00000000000000        266.85226235807028       -2.4217150085426104E-007  -15.845307905358192        6.3093927681198078E-003   4.0867981642537403       -1471.0507848261050     
   140.00000000000000        266.85240074850674        3.5705784578145281E-007  -15.845413056167166        6.3051555974618350E-003   4.0839153279582074       -1471.0507848261050     
   150.00000000000000        266.85416799293733        9.7287228572457504E-007  -15.845530622488283        6.3006570034012076E-003   4.0810633364920612       -1471.0507848261050     
   160.00000000000000        266.85759304899415        1.5873527024968428E-006  -15.845660655664171        6.2959299315373694E-003   4.0780863114713481       -1471.0507848261050     
   170.00000000000000        266.86263993536750        2.1861547503501908E-006  -15.845803153520166        6.2909970301605403E-003   4.0750875451039059       -1471.0507848261050     
   180.00000000000000        266.86926110955386        2.7650118449223977E-006  -15.845958068829626        6.2858804715454604E-003   4.0720737533575830       -1471.0507848261050     
   190.00000000000000        266.87739786872777        3.3185089650533841E-006  -15.846125317500062        6.2806049348021449E-003   4.0690056238654142       -1471.0507848261050     
   200.00000000000000        266.88697381030181        3.8435355132443564E-006  -15.846304783554009        6.2751874121870664E-003   4.0659209554303137       -1471.0507848261050     
   210.00000000000000        266.89791365996501        4.3410368829217025E-006  -15.846496326538206        6.2696462164075406E-003   4.0627963914044489       -1471.0507848261050     
   220.00000000000000        266.91014608404527        4.8060444619208744E-006  -15.846699786630982        6.2639988032552486E-003   4.0595821219627588       -1471.0507848261050     
   230.00000000000000        266.92356930055337        5.2456070511838490E-006  -15.846914986943897        6.2582485736829042E-003   4.0564645159782566       -1471.0507848261050     
   240.00000000000000        266.93814960719027        5.6565548990507103E-006  -15.847141744017671        6.2524260007744926E-003   4.0531121196878948       -1471.0507848261050     
   250.00000000000000        266.95376830651145        6.0425939093210613E-006  -15.847379860148166        6.2465206054388199E-003   4.0499042547469148       -1471.0507848261050     
   260.00000000000000        266.97041147147905        6.4004418694333394E-006  -15.847629137889635        6.2405595210713724E-003   4.0463998962102341       -1471.0507848261050     
   270.00000000000000        266.98794287850109        6.7314560159618958E-006  -15.847889372418539        6.2345317937612804E-003   4.0431684045709053       -1471.0507848261050     
   280.00000000000000        267.00635582336463        7.0476267231541089E-006  -15.848160360533274        6.2284557298692674E-003   4.0397956980157197       -1471.0507848261050     
   290.00000000000000        267.02557810107214        7.3401247819671789E-006  -15.848441898107680        6.2223343096657301E-003   4.0364122620487359       -1471.0507848261050     
   300.00000000000000        267.04555584462940        7.6146519926285218E-006  -15.848733781275104        6.2161671242857439E-003   4.0330434535985136       -1471.0507848261050     
   310.00000000000000        267.06624728055084        7.8736136157613168E-006  -15.849035812418501        6.2099729238289242E-003   4.0296136198462458       -1471.0507848261050     
   320.00000000000000        267.08761137344737        8.1156482790232987E-006  -15.849347791722490        6.2037453482733070E-003   4.0261264351676944       -1471.0507848261050     
   330.00000000000000        267.10959906282267        8.3408890399862163E-006  -15.849669525273976        6.1974878165817699E-003   4.0226369323671971       -1471.0507848261050     
   340.00000000000000        267.13217000399334        8.5523538155373123E-006  -15.850000823331433        6.1912044135151202E-003   4.0191744284118709       -1471.0507848261050     
   350.00000000000000        267.15529123949040        8.7517942885647603E-006  -15.850341499666850        6.1848976581748072E-003   4.0157163828437881       -1471.0507848261050     
   360.00000000000000        267.17893176703393        8.9462317948371209E-006  -15.850691372167052        6.1785677574057755E-003   4.0122606161402725       -1471.0507848261050     
   370.00000000000000        267.20309613257609        9.1238578909622476E-006  -15.851050267104066        6.1722367248020120E-003   4.0085308047394443       -1471.0507848261050     
   380.00000000000000        267.22769022857671        9.2856323466146934E-006  -15.851418006772118        6.1658735046536475E-003   4.0050636443439869       -1471.0507848261050     
