# temperature      500.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.5516162642      -15.8564643738        0.0060888212        3.9617631223    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8525388995      -15.8505509400        0.0094715939       -0.0114595534        0.0000000000        0.0039254743      -15.8525378064
      257.5752500000      -15.8552533228      -15.8530076500        0.0092394639       -0.0114851367        0.0000000000        0.0012110510      -15.8552579320
      265.3020000000      -15.8564132558      -15.8538514500        0.0090067078       -0.0115685136        0.0000000000        0.0000511180      -15.8564059774
      273.1817500000      -15.8561107543      -15.8531839700        0.0087729740       -0.0116997583        0.0000000000        0.0003536195      -15.8561158555
      281.2160000000      -15.8545078310      -15.8511809600        0.0085406109       -0.0118674819        0.0000000000        0.0019565428      -15.8545064920
