# temperature      970.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      269.0865942300      -15.8845820235        0.0057875097        3.7822108524    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8801721999      -15.8505509400        0.0094715939       -0.0390928538        0.0000000000        0.0044098236      -15.8801711686
      257.5752500000      -15.8830491074      -15.8530076500        0.0092394639       -0.0392809213        0.0000000000        0.0015329161      -15.8830534454
      265.3020000000      -15.8844313011      -15.8538514500        0.0090067078       -0.0395865589        0.0000000000        0.0001507224      -15.8844244675
      273.1817500000      -15.8844011786      -15.8531839700        0.0087729740       -0.0399901826        0.0000000000        0.0001808449      -15.8844059567
      281.2160000000      -15.8831078261      -15.8511809600        0.0085406109       -0.0404674770        0.0000000000        0.0014741974      -15.8831065749
