# temperature      990.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      269.1577269050      -15.8860036150        0.0057748862        3.7743137247    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8815707027      -15.8505509400        0.0094715939       -0.0404913566        0.0000000000        0.0044329123      -15.8815696737
      257.5752500000      -15.8844550680      -15.8530076500        0.0092394639       -0.0406868819        0.0000000000        0.0015485470      -15.8844593948
      265.3020000000      -15.8858472320      -15.8538514500        0.0090067078       -0.0410024898        0.0000000000        0.0001563830      -15.8858404177
      273.1817500000      -15.8858291856      -15.8531839700        0.0087729740       -0.0414181896        0.0000000000        0.0001744293      -15.8858339495
      281.2160000000      -15.8845494646      -15.8511809600        0.0085406109       -0.0419091155        0.0000000000        0.0014541504      -15.8845482172
