# temperature      230.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      266.9235693006      -15.8469149869        0.0062582486        4.0564645160    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8431619713      -15.8505509400        0.0094715939       -0.0020826252        0.0000000000        0.0037530156      -15.8431608472
      257.5752500000      -15.8458219115      -15.8530076500        0.0092394639       -0.0020537254        0.0000000000        0.0010930755      -15.8458266601
      265.3020000000      -15.8468913513      -15.8538514500        0.0090067078       -0.0020466091        0.0000000000        0.0000236356      -15.8468838431
      273.1817500000      -15.8464681129      -15.8531839700        0.0087729740       -0.0020571169        0.0000000000        0.0004468741      -15.8464733807
      281.2160000000      -15.8447215204      -15.8511809600        0.0085406109       -0.0020811714        0.0000000000        0.0021934665      -15.8447201362
