# temperature      440.0000000000
# pressure (kbar)        0.0000000000
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
#      267.3837751268      -15.8538011628        0.0061274720        3.9836006847    -1471.0507848261
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
      250.0000000000      -15.8499256924      -15.8505509400        0.0094715939       -0.0088463463        0.0000000000        0.0038754704      -15.8499245921
      257.5752500000      -15.8526230993      -15.8530076500        0.0092394639       -0.0088549132        0.0000000000        0.0011780635      -15.8526277413
      265.3020000000      -15.8537581887      -15.8538514500        0.0090067078       -0.0089134465        0.0000000000        0.0000429741      -15.8537508556
      273.1817500000      -15.8534242750      -15.8531839700        0.0087729740       -0.0090132790        0.0000000000        0.0003768878      -15.8534294163
      281.2160000000      -15.8517850161      -15.8511809600        0.0085406109       -0.0091446671        0.0000000000        0.0020161467      -15.8517836662
