 # temperature   70.000000000000000     
 # pressure (kbar)   5.0000000000000000     
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
 #   265.46315982211235       -15.835879449200680        6.4674466650408591E-003   4.1038468908238048       -1471.0507848261050     
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
   250.00000000000000       -15.832651277465210       -15.850550940000000        9.4715978528787242E-003  -6.9262622447190838E-005   8.4973273043579146E-003   3.2281717354702977E-003  -15.832650146830817     
   257.57524999999998       -15.835076621428293       -15.853007650000000        9.2394660672200628E-003  -6.3242314518785760E-005   8.7548048190072628E-003   8.0282777238771530E-004  -15.835081403210154     
   265.30199999999996       -15.835886704776499       -15.853851450000001        9.0067021155577579E-003  -5.9388606060409291E-005   9.0174317140030522E-003  -7.2555758183767693E-006  -15.835879132491323     
   273.18175000000008       -15.835182767908583       -15.853183970000000        8.7729656830205296E-003  -5.7022564911158376E-005   9.2852589733091132E-003   6.9668129209787821E-004  -15.835188089751925     
   281.21600000000007       -15.833137697975259       -15.851180960000001        8.5406104135312601E-003  -5.5685969678455830E-005   9.5583375808892639E-003   2.7417512254217513E-003  -15.833136297269629     
