 # temperature   610.00000000000000     
 # pressure (kbar)   5.0000000000000000     
#               v0(iT)                    g0(iT)                    k0(iT)                   dk0(iT)                  d2k0(iT)
 #   266.38920170483999       -15.852906232290474        6.1511299010696008E-003   3.9207957998929559       -1471.0507848261050     
#               volume            gibbs_free_nrg                 electrons                zero-point               ph_free_nrg                        pV                      g-g0                     g_fit
   250.00000000000000       -15.849462061332044       -15.850550940000000        9.4715978528787242E-003  -1.6880046489281247E-002   8.4973273043579146E-003   3.4441709584296376E-003  -15.849460980762910     
   257.57524999999998       -15.851953594622868       -15.853007650000000        9.2394660672200628E-003  -1.6940215509094931E-002   8.7548048190072628E-003   9.5263766760567137E-004  -15.851958146335237     
   265.30199999999996       -15.852899669083683       -15.853851450000001        9.0067021155577579E-003  -1.7072352913244108E-002   9.0174317140030522E-003   6.5632067904886071E-006  -15.852892493651632     
   273.18175000000008       -15.852389989434208       -15.853183970000000        8.7729656830205296E-003  -1.7264244090537419E-002   9.2852589733091132E-003   5.1624285626594713E-004  -15.852395010499723     
   281.21600000000007       -15.850583474043853       -15.851180960000001        8.5406104135312601E-003  -1.7501462038274233E-002   9.5583375808892639E-003   2.3227582466205376E-003  -15.850582157267166     
