 Note: create a file called 'STOP' to stop the code at next iteration and write out the result.
 Use option '-h' for more help.

  --- PARAMETERS : ---
  power to distribute ASR correction term:    2.0000000000000000     
  threshold of ASR violation:    9.9999999999999998E-013
  number of iterations max:        10000
  use periodic bounday conditions:  F
  --- ------------ ---
 ** Reading full grid FC3 file mat3R
     alat (bohr)   10.200000
     tpiba (1/bohr)    0.615999
     at_1 = (   -0.500000    0.000000    0.500000 )
     at_2 = (    0.000000    0.500000    0.500000 )
     at_3 = (   -0.500000    0.500000    0.000000 )
     bg_1 = (   -1.000000   -1.000000    1.000000 )
     bg_2 = (    1.000000    1.000000    1.000000 )
     bg_3 = (   -1.000000    1.000000   -1.000000 )
     volume (bohr^3)  265.302000
 WARNING: Masses seem to be in Dalton units: rescaling
 old:   28.085999999999999     
 new:   25598.821660770001     
    Original FC3 grid:           2           2           2
    Number of R:               301
  grid size           2           2           2
 Reading : done. //  Mem used:  -1.0000000000000000E-003 Mb
 R indexing : done. //  Mem used:           0 Mb
 FC3 reindex : done. //  Mem used:           0 Mb
 Pre-symmetrization:   1.6615274621283106E-016
  Minimization started: create a file named 'STOP' to stop.
  asr3      iter        SQRT(deltot)SQRT(ABS(deltot-dels             delperm
  asr3        84        0.100974E-09        0.100974E-09        0.215431E-10
  asr3        85        0.821824E-10        0.821824E-10        0.175338E-10
  asr3        86        0.668878E-10        0.668878E-10        0.142707E-10
  asr3        87        0.544396E-10        0.544396E-10        0.116148E-10
  asr3        88        0.443080E-10        0.443080E-10        0.945324E-11
  asr3        89        0.360621E-10        0.360621E-10        0.769393E-11
  asr3        90        0.293507E-10        0.293507E-10        0.626205E-11
  asr3        91        0.238884E-10        0.238884E-10        0.509664E-11
  asr3        92        0.194426E-10        0.194426E-10        0.414813E-11
  asr3        93        0.158242E-10        0.158242E-10        0.337614E-11
  asr3        94        0.128793E-10        0.128793E-10        0.274782E-11
  asr3        95        0.104823E-10        0.104823E-10        0.223643E-11
  asr3        96        0.853150E-11        0.853150E-11        0.182022E-11
  asr3        97        0.694377E-11        0.694377E-11        0.148147E-11
  asr3        98        0.565151E-11        0.565151E-11        0.120576E-11
  asr3        99        0.459969E-11        0.459969E-11        0.981361E-12
  asr3       100        0.374366E-11        0.374366E-11        0.798722E-12
  asr3       101        0.304693E-11        0.304693E-11        0.650074E-12
  asr3       102        0.247989E-11        0.247989E-11        0.529093E-12
  asr3       103        0.201836E-11        0.201836E-11        0.430625E-12
  asr3       104        0.164272E-11        0.164272E-11        0.350483E-12
  asr3       105        0.133702E-11        0.133702E-11        0.285255E-12
  asr3       106        0.108817E-11        0.108817E-11        0.232168E-12
  asr3       107        0.885701E-12        0.885701E-12        0.188960E-12
 Impose asr3 : done. //  Mem used:           0 Mb

      
     For 2n+1 calculations of force constants please cite:
      1. Lorenzo Paulatto, Francesco Mauri, and Michele Lazzeri
         Phys. Rev. B 87, 214303 (2013)
      
     For thermal transport calculations please cite:
      2. Giorgia Fugallo, Michele Lazzeri, Lorenzo Paulatto, and Francesco Mauri
         Phys. Rev. B 88, 045430 (2013)
      3. A. Cepellotti, G. Fugallo, L. Paulatto, M. Lazzeri, F. Mauri, N. Marzari,
         Nature communications 6 (2015)
      4. G. Fugallo, A. Cepellotti, L. Paulatto, M. Lazzeri, N. Marzari, F. Mauri,
         Nano letters 14 (11), 6109-6114 (2014)
      5. M. Simoncelli, N. Marzari, F. Mauri, Unified theory of thermal transport in crystals and glasses,
         Nature Physics 15 (8), 809-813 (2019)
      6. M. Simoncelli, N. Marzari, F. Mauri,
         Wigner formulation of thermal transport in solids, Phys. Rev. X 12, 041011 (2022)
      
     For spectral function calculations also cite:
      7. Lorenzo Paulatto, Ion Errea, Matteo Calandra, and Francesco Mauri,
         Phys. Rev. B 91, 054304 (2015)

   * WALL :       0.9809 s
   *                          *              ms *         ms/call *          ms*cpu *     ms*cpu/call *  % wtime *        calls *
   *           asr3 iteration *      193.738335 *        1.810639 *         193.738 *        1.810639 *   19.751 *         107. *
   *          asr3 symmetrize *       79.958016 *        0.740352 *          79.958 *        0.740352 *    8.151 *         108. *
   *           asr3 in/output *       87.967153 *       43.983577 *          87.967 *       43.983577 *    8.968 *           2. *
   *               asr3 index *        1.981994 *        0.990997 *           1.982 *        0.990997 *    0.202 *           2. *
